 ,110,75,235,154,590,223,120,43,297,573,646,218,161,81,714,20,271,585,169,267
110, ,212,300,70,476,135,61,86,356,640,719,109,148,186,709,73,328,642,60,361
75,212, ,207,189,651,244,179,103,288,565,637,279,197,19,706,80,262,577,244,199
235,300,207, ,311,750,277,295,210,87,352,432,390,234,233,487,206,44,804,341,299
154,70,189,311, ,485,220,23,94,405,665,738,184,209,170,784,115,363,677,141,386
590,476,651,750,485, ,473,463,550,825,697,656,377,525,632,572,553,799,697,427,840
223,135,244,277,220,473, ,196,198,353,629,677,142,52,271,592,195,326,640,168,428
120,61,179,295,23,463,196, ,7,372,649,721,161,191,191,760,100,346,670,117,371
43,86,103,210,94,550,198,7, ,284,560,633,178,155,116,702,23,258,572,129,294
297,356,288,87,405,825,353,372,284, ,280,353,462,310,315,421,281,40,291,418,375
573,640,565,352,665,697,629,649,560,280, ,80,738,587,591,142,558,316,12,695,652
646,719,637,432,738,656,677,721,633,353,80, ,693,690,671,100,637,396,79,769,732
218,109,279,390,184,377,142,161,178,462,738,693, ,195,294,609,181,436,733,50,468
161,148,197,234,209,525,52,191,155,310,587,690,195, ,229,872,153,268,586,170,385
81,186,19,233,170,632,271,191,116,315,591,671,294,229, ,733,116,289,603,245,220
714,709,706,487,784,572,592,760,702,421,142,100,609,872,733, ,690,457,140,648,793
20,73,80,206,115,553,195,100,23,281,558,637,181,153,116,690, ,256,571,137,288
271,328,262,44,363,799,326,346,258,40,316,396,436,268,289,457,256, ,327,387,350
585,642,577,804,677,697,640,670,572,291,12,79,733,586,603,140,571,327, ,700,663
169,60,244,341,141,427,168,117,129,418,695,769,50,170,245,648,137,387,700, ,425
267,361,199,299,386,840,428,371,294,375,652,732,468,385,220,793,288,350,663,425, 
